,name,city,country,IATA,ICAO,Latitude,Longtitude,Altitude,geometry
6935,Thimarafushi Airport,Thimarafushi,Maldives,TMF,VRNT,2.211,73.1533,6,POINT (73.1533000000000015 2.2109999999999999)
6936,Ifuru Airport,Ifuru,Maldives,IFU,VREI,5.7083,73.025,20,POINT (73.0250000000000057 5.7083000000000004)
6937,Kaintiba Airport,Kieta,Papua New Guinea,KZF,AYKT,-7.50025,146.033833333,2050,POINT (146.0338333329999898 -7.5002500000000003)
6938,Ordu Giresun Airport,Ordu-Giresun,Turkey,OGU,LTCB,40.966047,38.080994,11,POINT (38.0809939999999969 40.9660470000000032)
6939,Hakkari Yüksekova Airport,Hakkari,Turkey,YKO,LTCW,37.5497,44.2381,6400,POINT (44.2381000000000029 37.5497000000000014)
6941,Bathpalathang Airport,Jakar,Bhutan,BUT,VQBT,27.5622,90.7471,8485,POINT (90.7471000000000032 27.5622000000000007)
6942,Sultan Bantilan Airport,Toli-Toli,Indonesia,TLI,WAMI,1.123428,120.793658,40,POINT (120.7936579999999935 1.1234280000000001)
6947,Tarko-Sale Airport,Tarko-Sale,Russia,TQL,USDS,64.9308013916,77.81809997559999,82,POINT (77.8180999755999920 64.9308013915999993)
6950,Jinchuan Airport,Jinchuan,China,JIC,ZLJC,38.5422222222,102.348333333,4740,POINT (102.3483333329999994 38.5422222222000030)
6952,Alashankou Bole (Bortala) airport,Bole,China,BPL,ZWAX,44.895,82.3,1253,POINT (82.2999999999999972 44.8950000000000031)
6953,Fuyun Koktokay Airport,Fuyun,China,FYN,ZWFY,46.804169,89.512006,3081,POINT (89.5120059999999995 46.8041690000000017)
6954,Achinsk Airport,Achinsk,Russia,ACS,UNKS,56.2682991027832,90.57080078125,1033,POINT (90.5708007812500000 56.2682991027832031)
6955,Linfen Qiaoli Airport,LINFEN,China,LFQ,ZBLF,36.132629,111.641236,1483,POINT (111.6412360000000064 36.1326290000000014)
6956,Hinton/Jasper-Hinton Airport,Hinton,Canada,YJP,CEC4,53.3191986084,-117.752998352,4006,POINT (-117.7529983520000059 53.3191986084000007)
6957,Watsonville Municipal Airport,Watsonville,United States,WVI,KWVI,36.9356994629,-121.790000916,163,POINT (-121.7900009159999968 36.9356994628999971)
6958,Gelephu Airport,Gelephu,Bhutan,GLU,VQGP,26.88456,90.46412,980,POINT (90.4641199999999941 26.8845600000000005)
6959,Hollister Municipal Airport,Hollister,United States,HLI,KCVH,36.8932991028,-121.410003662,230,POINT (-121.4100036619999941 36.8932991028000004)
6961,Dulkaninna Airport,Dulkaninna,Australia,DLK,YDLK,-29.0132999420166,138.4810028076172,0,POINT (138.4810028076171875 -29.0132999420166016)
6966,Opapimiskan Lake Airport,Musselwhite Mine,Canada,YBS,CKM8,52.6067008972,-90.3768997192,1023,POINT (-90.3768997191999972 52.6067008971999996)
6967,Rizhao Shanzihe Airport,Rizhao,China,RIZ,ZSRZ,35.405033,119.324403,121,POINT (119.3244030000000038 35.4050330000000031)
